minute,X,Y,h_a,situation,shotType,lastAction,xG,result,Goal
60,0.744000015,0.756999969,a,OpenPlay,RightFoot,Pass,0.0161846,Goal,1
70,0.723000031,0.36,h,OpenPlay,RightFoot,Pass,0.0154035,MissedShots,0
29,0.781999969,0.68,a,OpenPlay,LeftFoot,Pass,0.0237974,MissedShots,0
56,0.938000031,0.67,a,OpenPlay,LeftFoot,TakeOn,0.0810614,SavedShot,0
56,0.818000031,0.482000008,a,OpenPlay,LeftFoot,Pass,0.065022498,SavedShot,0
78,0.758000031,0.31,a,OpenPlay,RightFoot,TakeOn,0.0285195,BlockedShot,0
12,0.773000031,0.716999969,h,OpenPlay,RightFoot,Pass,0.017838299,MissedShots,0
15,0.958000031,0.6,h,FromCorner,LeftFoot,Rebound,0.116812997,BlockedShot,0
15,0.899000015,0.669000015,h,FromCorner,RightFoot,Rebound,0.062631004,SavedShot,0
18,0.739000015,0.527000008,h,OpenPlay,LeftFoot,Pass,0.019993899,MissedShots,0
24,0.748000031,0.52,h,OpenPlay,RightFoot,None,0.018494301,BlockedShot,0
51,0.723000031,0.482000008,h,OpenPlay,RightFoot,TakeOn,0.0308192,SavedShot,0
66,0.775,0.342999992,h,OpenPlay,RightFoot,Pass,0.028563499,SavedShot,0
26,0.845999985,0.700999985,a,FromCorner,RightFoot,Pass,0.036744099,BlockedShot,0
36,0.74,0.632000008,a,OpenPlay,LeftFoot,Chipped,0.0102673,SavedShot,0
39,0.744000015,0.602000008,a,OpenPlay,RightFoot,HeadPass,0.017804099,SavedShot,0
7,0.954000015,0.567000008,h,OpenPlay,RightFoot,Pass,0.586901009,Goal,1
19,0.769000015,0.59,h,OpenPlay,RightFoot,Pass,0.029960601,SavedShot,0
38,0.805,0.469000015,h,OpenPlay,RightFoot,Pass,0.073742203,BlockedShot,0
16,0.745999985,0.6,h,DirectFreekick,RightFoot,Standard,0.0632357,MissedShots,0
81,0.719000015,0.500999985,h,OpenPlay,RightFoot,Pass,0.0191209,BlockedShot,0
79,0.821999969,0.577000008,h,OpenPlay,RightFoot,Pass,0.080921002,MissedShots,0
57,0.804000015,0.639000015,h,OpenPlay,RightFoot,Pass,0.041668601,MissedShots,0
11,0.755,0.648000031,a,OpenPlay,RightFoot,Pass,0.020834301,SavedShot,0
71,0.804000015,0.507000008,a,OpenPlay,RightFoot,Pass,0.048823301,MissedShots,0
36,0.765999985,0.579000015,a,OpenPlay,RightFoot,Pass,0.0252326,MissedShots,0
61,0.745999985,0.507000008,a,OpenPlay,LeftFoot,Pass,0.022317801,BlockedShot,0
18,0.941999969,0.577000008,h,OpenPlay,LeftFoot,BallRecovery,0.474774003,SavedShot,0
32,0.815999985,0.649000015,h,OpenPlay,RightFoot,Pass,0.036951099,MissedShots,0
54,0.879000015,0.590999985,h,SetPiece,LeftFoot,Pass,0.089257397,BlockedShot,0
11,0.753000031,0.442000008,h,OpenPlay,RightFoot,Pass,0.022318801,SavedShot,0
53,0.83,0.665999985,h,OpenPlay,RightFoot,Dispossessed,0.044909,MissedShots,0
67,0.715,0.395999985,h,OpenPlay,RightFoot,Pass,0.0144403,MissedShots,0
86,0.875999985,0.569000015,h,OpenPlay,RightFoot,Pass,0.111920998,SavedShot,0
52,0.808000031,0.419000015,a,OpenPlay,RightFoot,BallTouch,0.0513593,BlockedShot,0
15,0.740999985,0.668000031,h,OpenPlay,RightFoot,BallTouch,0.0151611,MissedShots,0
32,0.779000015,0.570999985,h,OpenPlay,RightFoot,Pass,0.031623501,BlockedShot,0
51,0.856999969,0.564000015,h,OpenPlay,LeftFoot,Pass,0.077716,Goal,1
58,0.815999985,0.535999985,h,OpenPlay,RightFoot,None,0.053433601,MissedShots,0
11,0.761999969,0.555,a,OpenPlay,RightFoot,Rebound,0.0190007,MissedShots,0
